Zoho Code or Management Reference,Account Name,Account Type,Parent Account,Brief Description,Federal Tax Rollup,Live Treatment,Control
4000,Sales,Income,,Zoho invoice revenue root used for core service receipts.,Schedule C line 1 Gross receipts or sales,Retain locked system account,Post through approved service revenue children
4100,Managed Reception Service Revenue,Income,Sales,Reporting parent for managed inbound receptionist service revenue.,Schedule C line 1 Gross receipts or sales,Retain active,Do not post directly to the parent
4110,After-Hours Managed Reception Revenue,Income,Managed Reception Service Revenue,Revenue from approved after-hours managed reception coverage.,Schedule C line 1 Gross receipts or sales,Retain active,Contract and sales-tax evidence required
4120,Overflow Managed Reception Revenue,Income,Managed Reception Service Revenue,Revenue from approved overflow managed reception coverage.,Schedule C line 1 Gross receipts or sales,Retain active,Contract and sales-tax evidence required
4200,Implementation and Onboarding Revenue,Income,Sales,Reporting parent for approved setup and bounded implementation revenue.,Schedule C line 1 Gross receipts or sales,Retain active,Do not post directly to the parent
4210,Setup and Launch Revenue,Income,Implementation and Onboarding Revenue,Revenue from approved customer configuration testing onboarding and launch work.,Schedule C line 1 Gross receipts or sales,Retain active,Contract and sales-tax evidence required
4500,Interest Income,Income,,Zoho system root for interest earned on business deposits.,Not Schedule C by default,Retain locked system account,Map from financial-institution tax evidence at return level
4510,Bank and Credit Union Interest,Income,Interest Income,Interest or dividend-form distributions earned on business deposit accounts.,Not Schedule C by default,Retain active,Reconcile to financial-institution reporting
4520,Late Fee Income,Income,,Contractually authorized customer late-fee income.,Schedule C line 1 unless facts require line 6,Retain locked system account,Use only under an approved customer contract and tax treatment
4590,Other Charges,Income,,Zoho invoice-charge control restricted to an approved charge type.,Schedule C line 1 or line 6 based on facts,Retain locked system account,Do not use as a catch-all
4600,General Income,Income,,Zoho generic income control restricted from routine use.,Schedule C line 1 or line 6 based on facts,Retain locked system account,Resolve the income source before posting
4700,Shipping Charge,Income,,Zoho shipping control retained but unused without a physical-delivery workflow.,Schedule C line 1 if triggered,Retain locked system account - no-post,Do not use without an approved shipping workflow
4900,Sales Discounts,Income,,Contra-revenue for approved invoice discounts credits and concessions.,Schedule C line 2 Returns and allowances,Retain locked system account,Link each amount to the originating customer document
5000,Cost of Goods Sold,Cost Of Goods Sold,,Zoho cost-of-goods-sold control retained for a future supported Part III fact pattern.,Schedule C line 4 and Part III only if approved,Retain locked system account - no-post,Do not use merely to create an internal gross-margin subtotal
6000,Advertising,Expense,,Schedule C parent for substantiated advertising and promotional costs.,Schedule C line 8 Advertising,Rename existing root,Do not post directly to the parent
6010,Paid Advertising,Expense,Advertising,Paid digital or offline media used to acquire qualified prospects.,Schedule C line 8 Advertising,Retain active,Campaign business purpose and invoice evidence required
6020,Content and Creative,Expense,Advertising,Marketing content design photography and video production.,Schedule C line 8 Advertising,Retain active,Separate capitalizable assets and non-advertising work
6040,Events Sponsorships and Promotions,Expense,Advertising,Qualifying promotional events sponsorships and materials.,Schedule C line 8 Advertising,Retain active,Separate gifts charity entertainment and political activity
6200,Legal and Professional Services,Expense,,Schedule C parent for outside legal accounting tax and professional support.,Schedule C line 17 Legal and professional services,Rename existing root,Do not post directly to the parent
6210,Accounting and Tax,Expense,Legal and Professional Services,CPA tax preparation accounting advisory and return-support services.,Schedule C line 17 Legal and professional services,Retain active,Separate owner-return and capital transaction costs when required
6220,Bookkeeping,Expense,Legal and Professional Services,Routine bookkeeping close and financial-administration services.,Schedule C line 17 Legal and professional services,Retain active,Approved vendor scope required
6230,Legal,Expense,Legal and Professional Services,Attorney contract regulatory and legal-advisory services.,Schedule C line 17 Legal and professional services,Retain active,Deductibility follows the underlying matter
6240,Business and Strategy Consulting,Expense,Legal and Professional Services,Approved business operations or strategy consulting.,Schedule C line 17 Legal and professional services,Retain active,Separate customer-delivery and capital project costs
6300,Contract Labor,Expense,,Schedule C parent for services performed by workers not treated as employees.,Schedule C line 11 Contract labor,Create root,Worker classification and information-return controls required
6301,Direct Service Contractors,Expense,Contract Labor,Independent contractors directly performing managed customer service.,Schedule C line 11 Contract labor,Convert and reparent existing account,Exclude employees and owner labor
6302,Contract Human Escalation and Quality Assurance,Expense,Contract Labor,Independent contractors providing human escalation or quality review.,Schedule C line 11 Contract labor,Convert rename and reparent existing account,Exclude employees and owner labor
6303,Contract Implementation Labor,Expense,Contract Labor,Independent contractors performing approved customer setup and launch work.,Schedule C line 11 Contract labor,Convert rename and reparent existing account,Exclude employees and owner labor
6310,Salaries and Employee Wages,Expense,,Zoho wage control for gross compensation paid to actual employees.,Schedule C line 26 Wages,Retain locked seeded account - no-post unless triggered,Never use for the disregarded owner
6400,Office Expense,Expense,,Schedule C parent for office expense and consumable office supplies.,Schedule C line 18 Office expense,Rename existing root,Do not post directly to the parent
6420,Office Supplies,Expense,Office Expense,Consumable office supplies used in business operations.,Schedule C line 18 Office expense,Retain active,Capitalize longer-lived equipment when required
6450,Utilities,Expense,,Schedule C parent for substantiated business utility and communications costs.,Schedule C line 25 Utilities,Create root,Do not post directly to the parent
6451,Internet,Expense,Utilities,Business internet charges or an approved business-use allocation.,Schedule C line 25 Utilities,Recode and reparent existing account,Exclude unsupported personal use
6452,Phone,Expense,Utilities,Business phone charges or an approved business-use allocation.,Schedule C line 25 Utilities,Recode and reparent existing account,Apply the residential first-line restriction when relevant
6453,Voice and Telephony Usage,Expense,Utilities,Carrier call-routing phone-number and voice-runtime usage for customer delivery.,Schedule C line 25 Utilities,Convert recode and reparent existing account,Allocate shared costs consistently from provider evidence
6500,Travel,Expense,,Schedule C parent for substantiated overnight business travel away from the tax home.,Schedule C line 24a Travel,Retain active,Do not post meals directly to this parent
6510,Business Lodging,Expense,Travel,Substantiated lodging during qualifying overnight business travel.,Schedule C line 24a Travel,Create child,Traveler dates destination business purpose and receipts required
6520,Lodging,Expense,,Zoho-seeded lodging account retained because the parent and fields are locked.,Schedule C line 24a Travel,Retain locked seeded account - no-post,Use Business Lodging for new activity
6540,Deductible Meals,Expense,,Schedule C parent for the deductible portion of qualifying business meals.,Schedule C line 24b Deductible meals,Create root,Do not post directly to the parent
6550,Business Meals - Tax Review,Expense,Deductible Meals,Qualifying business meals captured with substantiation for current limitation analysis.,Schedule C line 24b Deductible meals,Reparent existing account,Record attendees business purpose date place and receipt
6600,Insurance (Other Than Health),Expense,,Schedule C parent for approved business insurance premiums other than health coverage.,Schedule C line 15 Insurance other than health,Rename existing root,Separate employee benefits owner health coverage and prepaids
6700,Taxes and Licenses,Expense,,Schedule C parent for taxes and licenses legally imposed on Sylvara.,Schedule C line 23 Taxes and licenses,Rename existing root,Exclude collected sales tax and owner income or self-employment tax
6710,Licenses Registrations and Filing Fees,Expense,Taxes and Licenses,Business licenses registrations and recurring regulatory filing fees.,Schedule C line 23 Taxes and licenses,Retain active,Capitalize or amortize multi-period rights when required
6990.00,Other Expenses,Expense,,Zoho system parent for separately stated ordinary business costs not reported on a more specific Schedule C line.,Schedule C line 27b Other expenses,Retain locked system account,Use named children and list each material category separately
6100,Technology and Operations,Expense,Other Expenses,Operational subgroup for indirect technology and internal systems.,Schedule C line 27b Other expenses,Reparent existing account,Do not post directly to the subgroup
6030,Sales Software and Prospect Data,Expense,Technology and Operations,CRM sales enablement prospect-data and outreach tools not used for customer delivery.,Schedule C line 27b Other expenses,Reparent existing account,Separate prepaid capitalized and advertising costs
6110,General Software and SaaS,Expense,Technology and Operations,Internal business software not directly attributable to customer delivery or research.,Schedule C line 27b Other expenses,Retain active,Capitalize or amortize when required
6120,Internal Technology and Infrastructure,Expense,Technology and Operations,Internal hosting storage security IT website domain and email costs.,Schedule C line 27b Other expenses,Retain active,Separate direct delivery prepaids and capitalizable implementation
6990.10,AI Model and Automation Usage,Expense,Other Expenses,AI model transcription automation and workflow usage for customer delivery.,Schedule C line 27b Other expenses,Convert recode and reparent existing account,Separate capitalizable research and development costs
6990.11,Direct Hosting and Integration Costs,Expense,Other Expenses,Hosting middleware and integration runtime attributable to customer delivery.,Schedule C line 27b Other expenses,Convert recode and reparent existing account,Allocate shared costs consistently
6990.12,Direct Customer Software and Licenses,Expense,Other Expenses,Third-party software or licenses acquired for an active customer service.,Schedule C line 27b Other expenses,Convert recode and reparent existing account,Customer and contract attribution required
6380,Training and Education,Expense,Other Expenses,Education that maintains or improves skills used in Sylvara's existing business.,Schedule C line 27b Other expenses,Retain active,Exclude education qualifying the owner for a new trade or profession
6930,Business Gifts - Section 274 Review,Expense,Other Expenses,Substantiated business gifts separately captured for limitation analysis.,Schedule C line 27b Other expenses,Reparent existing account,Record recipient relationship purpose date item and cost
