"Management Reference","Live Zoho Code","Account Name","Zoho Account Type","Status","Parent Account","Account Origin","Live Zoho Description","Governed Brief Description","Posting Control","Federal Tax Preparer Rollup","Kansas Handoff","Management Reporting Group"
"1010","1010","Business Checking","bank","Active","","Sylvara custom","Primary operating cash account.","Primary operating bank account.","Reconcile independently every statement period.","Balance sheet; cash and gross-receipts reconciliation.","Supports federal-to-K-40 reconciliation; map interest by source.","Cash and cash equivalents"
"1020","1020","Business Savings","bank","Active","","Sylvara custom","Business reserve and tax-reserve cash account.","Business reserve and tax-reserve bank account.","Reconcile independently every statement period.","Balance sheet; cash reconciliation and source-specific interest review.","Supports federal-to-K-40 reconciliation; map interest by source.","Cash and cash equivalents"
"1030","","Petty Cash","cash","Active","","Zoho system locked","It is a small amount of cash that is used to pay your minor or casual expenses rather than writing a check.","Physical business cash held for minor expenses.","Restricted; require receipts and periodic physical count.","Balance sheet; cash reconciliation.","No direct Kansas return line; supports federal-to-K-40 reconciliation.","Cash and cash equivalents"
"1040","","Undeposited Funds","cash","Active","","Zoho system locked","Record funds received by your company yet to be deposited in a bank as undeposited funds and group them as a current asset in your balance sheet.","Customer receipts received but not yet deposited.","Use through Zoho receipt and deposit workflows; clear promptly.","Balance sheet; gross-receipts and deposit reconciliation.","No direct Kansas return line; supports federal-to-K-40 reconciliation.","Cash and cash equivalents"
"1050","1050","Stripe Clearing","payment_clearing","Active","","Sylvara custom","Gross Stripe receipts fees refunds disputes and deposits awaiting reconciliation.","Gross Stripe activity awaiting bank settlement.","Preserve gross receipts, fees, refunds, disputes, reserves, and deposits.","Balance sheet; processor settlement and gross-receipts reconciliation.","Supports Kansas sales-tax and federal-to-K-40 reconciliations.","Settlement clearing"
"1060","1060","Zoho Payments Clearing","payment_clearing","Active","","Sylvara custom","Gross Zoho Payments activity awaiting settlement and reconciliation.","Gross Zoho Payments activity awaiting bank settlement.","Preserve gross receipts, fees, refunds, disputes, reserves, and deposits.","Balance sheet; processor settlement and gross-receipts reconciliation.","Supports Kansas sales-tax and federal-to-K-40 reconciliations.","Settlement clearing"
"1100","","Accounts Receivable","accounts_receivable","Active","","Zoho system locked","The money that customers owe you becomes the accounts receivable. A good example of this is a payment expected from an invoice sent to your customer.","Amounts billed to customers but not yet collected.","Use only through approved customer and invoice workflows.","Balance sheet; accounting-method and gross-receipts reconciliation.","Supports federal-to-K-40 and Kansas sales-tax reconciliation.","Working capital"
"1200","1200","Prepaid Expenses","other_current_asset","Active","","Sylvara custom","Payments made before the related service or benefit period.","Payments made before the related benefit period.","Maintain vendor, service period, release method, and balance schedule.","Balance sheet; prepaid schedule and deduction-timing review.","Federal result generally flows to K-40; Schedule S review.","Working capital"
"1210","","Advance Tax","other_current_asset","Active","","Zoho system locked","Any tax which is paid in advance is recorded into the advance tax account. This advance tax payment could be a quarterly, half yearly or yearly payment.","Zoho advance-tax control; not for owner estimated income or self-employment tax.","Restricted; owner federal/Kansas estimates route to Drawings.","Balance sheet or return-specific review; not a default Schedule C expense.","Owner Kansas estimates are owner-return items, not business expense.","Working capital"
"1220","","Employee Advance","other_current_asset","Active","","Zoho system locked","Money paid out to an employee in advance can be tracked here till it's repaid or shown to be spent for company purposes.","Amounts advanced to an actual employee pending repayment or substantiation.","No-post until an employee and approved advance workflow exist.","Balance sheet; employee substantiation and payroll review.","No direct Kansas line; payroll treatment only if employees exist.","Working capital"
